song_id,cleaned_lyrics
01 Coven - 2021,
01 Coven - 2021,
01 Coven - 2021,
01 Coven - 2021,
01 Everything Goes On,im too crying cause were too degrading were on by our side i said dont try to make yourself never darling dont look for me im just a story you fit on so lets pretend a little alone and ill fuck it cause were gone everything was on
01 Everything Goes On,and im so scared of getting used to this all the vines that keep you tethered in your room well someday both of us are leaving here but now ill just bring this to you when you meet me in the daylight like we did before then i found you on my shoulder and you werent suffering
01 Everything Goes On,anymore you said im sorry that you were me i dont apologize i told you to forget me but you stayed by my side with my side dont try and make yourself a liar darling dont look for me im just a stupid soul so lets pretend lay down to alone on the meteor wall te procedures pourra
01 Everything Goes On,dont try to make yourself remember darling dont look for me im just a story youve been told so lets pretend a little longer cause when were gone everything goes on
01 Everything Goes On,but you were staring at the window and i said i want to take you to the sea and when im better i will do everything ive got to stop making promises i cant keep but if i was gone tomorrow wont the waves crash on is it selfish that im happy as we pass the setting sun so never be on the cast but you wont hide
01 Legends Never Die,i legends never die when the world is calling you can you hear them screaming out legends never die they become a part of you every time you play for reaching rightness
01 Legends Never Die,unless you survive never lose hope when everythings cold and the fightings new its keeping their bones theyre right into a small when the fight resists no it can stop the fight thats just never died when the world was calling you can you live that dream in the ocean light thats just never died maybe come fight it
01 Legends Never Die,every time you leave its already seen greatness legends never die the written down in eternity would you never see that price you cost the scars collected all their lives when everythings lost they pick up their hearts in the flames to feed to fervent all the skies they separate through harm just a touch of dream oh we can see
01 Legends Never Die,ive got a heart that i never die when the worlds calling you can you give me free minutes should i let the light light up ive got a heart that i never die maybe come to power every time you breathe i reach you and i miss that just everyday when the world is calling you
01 Legends Never Die,im so tired of my life im begging you to not fight think youre so far im walking as far think youre so far that dreams never die when the world is calling you can you give it a three million it peach be the day than the day maybe from the day totem just come over
"01 Seraphine, The Starry - Eyed Song",
"01 Seraphine, The Starry - Eyed Song",to move all we have to drop the pieces were holding and no one is perfect you dont need to be surprised every single day the wind blows away that the past is in life for me perfect anyway chaser when theyre kidding going just what theyll say
"01 Seraphine, The Starry - Eyed Song",dont care anymore cant say still anyway oh im looking at the show and we feel broken to move all we have to drop pieces were holding and all is perfect youll need to be strong every single day all right
"01 Seraphine, The Starry - Eyed Song",i feel no longer here but the dust is in light for me oh perfectity why
"01 Seraphine, The Starry - Eyed Song",and no one is perfect you dont need to be strong every
"01 Seraphine, The Starry - Eyed Song",sing a tale no one we know so long away to the best days youve had for me ive picked any way to the best days youve had for me
01 Starts Right Here (feat. Kenny Mason),how you wanna play it how you gonna play it when you aint seen nothings playin me and my squad gon turn on the squads like we dont see no other players aint nothing to squash aint nothing to solve you played it you already did im ready to mob im ready to mocks she move with nobodys gear pushin my buttons i might push her button then have my wife push up and slay i made a decision to end it alive better in a prepare i seen it vividly my vision evicted re i kill him and slit the scene click with me you never fear defeat no matter how they kill for me i showed other show up i said id show it but they wanna
01 Starts Right Here (feat. Kenny Mason),i know how i made it alone its gonna be a blowout im a tagger that blowin i just gotta blow it im just not honey it starts right here im a treasure a little wish and its a long a long way better get your steps in now it starts right here im a british its a wing and if you wanna be a god its a long way better get your steps in now its a long way
01 Starts Right Here (feat. Kenny Mason),i got a good night i bright light when it was no sight none of a sudden i got strikes now that take a light im taking a strike and im right here so baby is that this flame im right yeah i come to record the game its fun but youre not getting too i shunned them all in a minute i got them in bit of my life we stayed i showed up to show up into the show but they wanna know how i made it a little weird its gonna be a blowout but i could be the blow i just got it blow i just got it blow it starts right here im gonna show up in a minute and its a long road but i better get your steps in
01 Starts Right Here (feat. Kenny Mason),and if you wanna be a god its a long way push up and step unin a means i cant look on god and energy aint no regrets its him or me blast them away oh yeah push me in gauging come back aint really no comeback from that angelic slum rest cant forget the cash where the funds at cant win this way i got a war pack you see this one its my one i tried to win you and your pack so if i started you was your band
